ambiguous_bar,break_even_activated,commission,commission_r,commission_usd_round_turn,cost_r,direction,entry,entry_index,entry_slippage_price,entry_time,exit_index,exit_price,exit_slippage_price,exit_time,experiment_id,gross_r,management_events,net_r,outcome,partial_taken,price_cost_round_trip,signal_index,signal_time,slippage_price_round_trip,slippage_r,spread_pips,spread_points,spread_price,spread_r,stop,strategy_id,strategy_version,structure_key,swap_r,symbol_metadata_version,target,total_cost,total_cost_r,unresolved_open_position
False,True,0.0,0.0,0.0,0.469697,long,1.15976,447,3e-05,2025-06-24 12:10,449,1.16108,3e-05,2025-06-24 12:20,baseline,1.5,"({'event': '+1R_REACHED', 'bar': 1}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 1}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.15976, 'bar': 1})",1.030303,TARGET,True,0.00031,446,2025-06-24 12:05,6e-05,0.0909090909,2.5,25.0,0.00025,0.3787878788,1.1591,EURUSD,1.0.0:21f874e75b4864aa,long:18:57,0.0,symbol-metadata-v1,1.16108,0.00031,0.4696969697,False
False,False,0.0,0.0,0.0,0.794872,long,1.16216,667,3e-05,2025-06-25 06:30,670,1.16177,3e-05,2025-06-25 06:45,baseline,-1.0,(),-1.794872,STOP,False,0.00031,666,2025-06-25 06:25,6e-05,0.1538461538,2.5,25.0,0.00025,0.641025641,1.16177,EURUSD,1.0.0:21f874e75b4864aa,long:51:57,0.0,symbol-metadata-v1,1.16295,0.00031,0.7948717949,False
False,False,0.0,0.0,0.0,0.378049,long,1.17124,1323,3e-05,2025-06-27 13:10,1325,1.17042,3e-05,2025-06-27 13:20,baseline,-1.0,(),-1.378049,STOP,False,0.00031,1322,2025-06-27 13:05,6e-05,0.0731707317,2.5,25.0,0.00025,0.3048780488,1.17042,EURUSD,1.0.0:21f874e75b4864aa,long:56:53,0.0,symbol-metadata-v1,1.17288,0.00031,0.3780487805,False
False,False,0.0,0.0,0.0,0.254098,long,1.17283,1597,3e-05,2025-06-30 12:00,1611,1.17161,3e-05,2025-06-30 13:10,baseline,-1.0,(),-1.254098,STOP,False,0.00031,1596,2025-06-30 11:55,6e-05,0.0491803279,2.5,25.0,0.00025,0.2049180328,1.17161,EURUSD,1.0.0:21f874e75b4864aa,long:53:57,0.0,symbol-metadata-v1,1.17528,0.00031,0.2540983607,False
False,True,0.0,0.0,0.0,0.476923,long,1.17225,1615,3e-05,2025-06-30 13:30,1632,1.17225,3e-05,2025-06-30 14:55,baseline,0.5,"({'event': '+1R_REACHED', 'bar': 10}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 10}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.17225, 'bar': 10})",0.023077,STOP,True,0.00031,1614,2025-06-30 13:25,6e-05,0.0923076923,2.5,25.0,0.00025,0.3846153846,1.1716,EURUSD,1.0.0:21f874e75b4864aa,long:35:57,0.0,symbol-metadata-v1,1.17356,0.00031,0.4769230769,False
False,False,0.0,0.0,0.0,0.413333,long,1.17891,1814,3e-05,2025-07-01 06:05,1846,1.17816,3e-05,2025-07-01 08:45,baseline,-1.0,(),-1.413333,STOP,False,0.00031,1813,2025-07-01 06:00,6e-05,0.08,2.5,25.0,0.00025,0.3333333333,1.17816,EURUSD,1.0.0:21f874e75b4864aa,long:39:55,0.0,symbol-metadata-v1,1.18041,0.00031,0.4133333333,False
False,True,0.0,0.0,0.0,0.242188,short,1.18111,1902,3e-05,2025-07-01 13:25,1942,1.18111,3e-05,2025-07-01 16:45,baseline,0.5,"({'event': '+1R_REACHED', 'bar': 35}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 35}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.18111, 'bar': 35})",0.257812,STOP,True,0.00031,1901,2025-07-01 13:20,6e-05,0.046875,2.5,25.0,0.00025,0.1953125,1.18239,EURUSD,1.0.0:21f874e75b4864aa,short:48:57,0.0,symbol-metadata-v1,1.17855,0.00031,0.2421875,False
False,True,0.0,0.0,0.0,0.455882,long,1.17926,2423,3e-05,2025-07-03 08:50,2430,1.17926,3e-05,2025-07-03 09:25,baseline,0.5,"({'event': '+1R_REACHED', 'bar': 3}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 3}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.17926, 'bar': 3})",0.044118,STOP,True,0.00031,2422,2025-07-03 08:45,6e-05,0.0882352941,2.5,25.0,0.00025,0.3676470588,1.17858,EURUSD,1.0.0:21f874e75b4864aa,long:57:57,0.0,symbol-metadata-v1,1.18062,0.00031,0.4558823529,False
False,False,0.0,0.0,0.0,0.516667,long,1.17334,3049,3e-05,2025-07-07 13:00,3054,1.17274,3e-05,2025-07-07 13:25,baseline,-1.0,(),-1.516667,STOP,False,0.00031,3048,2025-07-07 12:55,6e-05,0.1,2.5,25.0,0.00025,0.4166666667,1.17274,EURUSD,1.0.0:21f874e75b4864aa,long:41:58,0.0,symbol-metadata-v1,1.17454,0.00031,0.5166666667,False
False,False,0.0,0.0,0.0,0.469697,long,1.17311,3072,3e-05,2025-07-07 14:55,3075,1.17245,3e-05,2025-07-07 15:10,baseline,-1.0,(),-1.469697,STOP,False,0.00031,3071,2025-07-07 14:50,6e-05,0.0909090909,2.5,25.0,0.00025,0.3787878788,1.17245,EURUSD,1.0.0:21f874e75b4864aa,long:40:56,0.0,symbol-metadata-v1,1.17443,0.00031,0.4696969697,False
