symbol,timeframe,status,earliest_bar,latest_bar,expected_latest_bar,bar_count,raw_bar_count,reason,precise_reason
EURUSD,M1,FAIL,,,2025-12-31T23:59:00Z,0,261,Unknown,MT5 returned 261 bars outside requested audit window only
EURUSD,M3,REQUIRES_HISTORY_SYNC,2025-10-10T13:03:00Z,2025-12-31T23:57:00Z,2025-12-31T23:57:00Z,27680,27680,Unknown,earliest in-window bar 2025-10-10T13:03:00Z is after required start 2021-01-04T00:00:00Z
EURUSD,M15,REQUIRES_HISTORY_SYNC,2022-07-26T08:45:00Z,2025-12-31T23:45:00Z,2025-12-31T23:45:00Z,85513,85513,Unknown,earliest in-window bar 2022-07-26T08:45:00Z is after required start 2021-01-04T00:00:00Z
EURUSD,H4,PASS,2021-01-04T00:00:00Z,2025-12-31T20:00:00Z,2025-12-31T20:00:00Z,7786,7786,,
GBPUSD,M1,FAIL,,,2025-12-31T23:59:00Z,0,261,Unknown,MT5 returned 261 bars outside requested audit window only
GBPUSD,M3,REQUIRES_HISTORY_SYNC,2025-10-10T12:06:00Z,2025-12-31T23:57:00Z,2025-12-31T23:57:00Z,27680,27680,Unknown,earliest in-window bar 2025-10-10T12:06:00Z is after required start 2021-01-04T00:00:00Z
GBPUSD,M15,REQUIRES_HISTORY_SYNC,2022-07-26T09:15:00Z,2025-12-31T23:45:00Z,2025-12-31T23:45:00Z,85513,85513,Unknown,earliest in-window bar 2022-07-26T09:15:00Z is after required start 2021-01-04T00:00:00Z
GBPUSD,H4,PASS,2021-01-04T00:00:00Z,2025-12-31T20:00:00Z,2025-12-31T20:00:00Z,7786,7786,,
