time,open,high,low,close,volume,session,news_flag
2021-01-04T00:00:00Z,1.2239500000,1.2255700000,1.2228000000,1.2252600000,10671,OTHER,false
2021-01-04T04:00:00Z,1.2252600000,1.2259100000,1.2241300000,1.2255000000,9383,OTHER,false
2021-01-04T08:00:00Z,1.2254900000,1.2300400000,1.2242000000,1.2293200000,14169,LONDON,false
2021-01-04T12:00:00Z,1.2293200000,1.2306000000,1.2286300000,1.2298800000,16335,OTHER,false
2021-01-04T16:00:00Z,1.2299000000,1.2309800000,1.2250000000,1.2252900000,25580,OTHER,false
2021-01-04T20:00:00Z,1.2252900000,1.2256800000,1.2241600000,1.2247300000,9482,OTHER,false
2021-01-05T00:00:00Z,1.2246600000,1.2263200000,1.2243200000,1.2257200000,6256,OTHER,false
2021-01-05T04:00:00Z,1.2257200000,1.2276800000,1.2256900000,1.2272300000,7677,OTHER,false
2021-01-05T08:00:00Z,1.2272400000,1.2283900000,1.2255100000,1.2272300000,14790,LONDON,false
2021-01-05T12:00:00Z,1.2272400000,1.2290600000,1.2260500000,1.2262600000,15457,OTHER,false
2021-01-05T16:00:00Z,1.2262600000,1.2305100000,1.2254000000,1.2299400000,23074,OTHER,false
2021-01-05T20:00:00Z,1.2299100000,1.2305600000,1.2289500000,1.2296500000,8126,OTHER,false
2021-01-06T00:00:00Z,1.2296800000,1.2326100000,1.2281100000,1.2289200000,15458,OTHER,false
2021-01-06T04:00:00Z,1.2289300000,1.2306500000,1.2275700000,1.2296700000,16348,OTHER,false
2021-01-06T08:00:00Z,1.2296600000,1.2345500000,1.2296500000,1.2338200000,21580,LONDON,false
2021-01-06T12:00:00Z,1.2338300000,1.2349400000,1.2316600000,1.2319600000,20239,OTHER,false
2021-01-06T16:00:00Z,1.2319500000,1.2320600000,1.2265700000,1.2299000000,26706,OTHER,false
2021-01-06T20:00:00Z,1.2299000000,1.2339900000,1.2296400000,1.2325200000,17928,OTHER,false
2021-01-07T00:00:00Z,1.2325600000,1.2344100000,1.2322800000,1.2330600000,8261,OTHER,false
2021-01-07T04:00:00Z,1.2330800000,1.2332700000,1.2310700000,1.2312500000,8758,OTHER,false
2021-01-07T08:00:00Z,1.2312500000,1.2325600000,1.2264200000,1.2269000000,18702,LONDON,false
2021-01-07T12:00:00Z,1.2268800000,1.2278500000,1.2245200000,1.2268600000,17734,OTHER,false
2021-01-07T16:00:00Z,1.2268700000,1.2282600000,1.2246400000,1.2265500000,23308,OTHER,false
2021-01-07T20:00:00Z,1.2265700000,1.2279000000,1.2262800000,1.2271000000,7986,OTHER,false
2021-01-08T00:00:00Z,1.2271300000,1.2273100000,1.2234900000,1.2247900000,10254,OTHER,false
2021-01-08T04:00:00Z,1.2247900000,1.2268100000,1.2245500000,1.2257800000,9159,OTHER,false
2021-01-08T08:00:00Z,1.2257800000,1.2269100000,1.2213300000,1.2240000000,18236,LONDON,false
2021-01-08T12:00:00Z,1.2240000000,1.2284500000,1.2232600000,1.2271500000,18304,OTHER,false
2021-01-08T16:00:00Z,1.2271100000,1.2283500000,1.2222200000,1.2228800000,30760,OTHER,false
2021-01-08T20:00:00Z,1.2228800000,1.2228800000,1.2193200000,1.2221800000,13425,OTHER,false
2021-01-11T00:00:00Z,1.2211600000,1.2228500000,1.2171200000,1.2177800000,11307,OTHER,false
2021-01-11T04:00:00Z,1.2177800000,1.2182100000,1.2166600000,1.2181800000,9193,OTHER,false
2021-01-11T08:00:00Z,1.2181800000,1.2199600000,1.2160200000,1.2160900000,16047,LONDON,false
2021-01-11T12:00:00Z,1.2160700000,1.2171900000,1.2139400000,1.2144600000,15578,OTHER,false
2021-01-11T16:00:00Z,1.2144600000,1.2174300000,1.2132300000,1.2167000000,20966,OTHER,false
2021-01-11T20:00:00Z,1.2167000000,1.2171600000,1.2148700000,1.2149700000,6490,OTHER,false
2021-01-12T00:00:00Z,1.2149800000,1.2162000000,1.2140400000,1.2149100000,7170,OTHER,false
2021-01-12T04:00:00Z,1.2149100000,1.2155100000,1.2138700000,1.2153300000,6358,OTHER,false
